"Date","Price","Open","High","Low","Change %"
"Dec 15","1.766","1.766","1.766","1.766","6.77"
"Nov 15","1.654","1.654","1.654","1.654","8.25"
"Oct 15","1.528","1.528","1.528","1.528","11.13"
"Sep 15","1.375","1.375","1.375","1.375","-10.77"
"Aug 15","1.541","1.541","1.541","1.541","-0.45"
"Jul 15","1.548","1.548","1.548","1.548","-4.91"
"Jun 15","1.628","1.628","1.628","1.628","10.82"
"May 15","1.469","1.469","1.469","1.469","2.01"
"Apr 15","1.440","1.440","1.440","1.440","4.73"
"Mar 15","1.375","1.375","1.375","1.375","-8.58"
"Feb 15","1.504","1.504","1.504","1.504","26.39"
"Jan 15","1.190","1.190","1.190","1.190","-28.14"
"Dec 14","1.656","1.656","1.656","1.656","9.60"
"Nov 14","1.511","1.511","1.511","1.511","-6.38"
"Oct 14","1.614","1.614","1.614","1.614","-9.33"
"Sep 14","1.780","1.780","1.780","1.780","9.34"
"Aug 14","1.628","1.628","1.628","1.628","-7.71"
"Jul 14","1.764","1.764","1.764","1.764","8.55"
"Jun 14","1.625","1.625","1.625","1.625","6.35"
"May 14","1.528","1.528","1.528","1.528","-9.10"
"Apr 14","1.681","1.681","1.681","1.681","-2.94"
"Mar 14","1.732","1.732","1.732","1.732","14.63"
"Feb 14","1.511","1.511","1.511","1.511","0.07"
"Jan 14","1.510","1.510","1.510","1.510","-13.02"
"Dec 13","1.736","1.736","1.736","1.736","26.99"
"Nov 13","1.367","1.367","1.367","1.367","3.95"
"Oct 13","1.315","1.315","1.315","1.315","-5.05"
"Sep 13","1.385","1.385","1.385","1.385","-15.86"
"Aug 13","1.646","1.646","1.646","1.646","18.76"
"Jul 13","1.386","1.386","1.386","1.386","-0.72"
"Jun 13","1.396","1.396","1.396","1.396","36.33"
"May 13","1.024","1.024","1.024","1.024","51.03"
"Apr 13","0.678","0.678","0.678","0.678","-11.83"
"Mar 13","0.769","0.769","0.769","0.769","0.39"
"Feb 13","0.766","0.766","0.766","0.766","-12.95"
"Jan 13","0.880","0.880","0.880","0.880","21.38"
"Dec 12","0.725","0.725","0.725","0.725","17.50"
"Nov 12","0.617","0.617","0.617","0.617","-14.42"
"Oct 12","0.721","0.721","0.721","0.721","15.36"
"Sep 12","0.625","0.625","0.625","0.625","6.29"
"Aug 12","0.588","0.588","0.588","0.588","0.34"
"Jul 12","0.586","0.586","0.586","0.586","-18.16"
"Jun 12","0.716","0.716","0.716","0.716","8.98"
"May 12","0.657","0.657","0.657","0.657","-19.19"
"Apr 12","0.813","0.813","0.813","0.813","-21.83"
"Mar 12","1.040","1.040","1.040","1.040","20.37"
"Feb 12","0.864","0.864","0.864","0.864","22.38"
"Jan 12","0.706","0.706","0.706","0.706","-15.25"
"Dec 11","0.833","0.833","0.833","0.833","-12.96"
"Nov 11","0.957","0.957","0.957","0.957","-0.93"
"Oct 11","0.966","0.966","0.966","0.966","1.15"
"Sep 11","0.955","0.955","0.955","0.955","-1.55"
"Aug 11","0.970","0.970","0.970","0.970","-28.20"
"Jul 11","1.351","1.351","1.351","1.351","-23.33"
"Jun 11","1.762","1.762","1.762","1.762","3.77"
"May 11","1.698","1.698","1.698","1.698","-13.98"
"Apr 11","1.974","1.974","1.974","1.974","-13.12"
"Mar 11","2.272","2.272","2.272","2.272","6.32"
"Feb 11","2.137","2.137","2.137","2.137","9.82"
"Jan 11","1.946","1.946","1.946","1.946","-3.09"
"Dec 10","2.008","2.008","2.008","2.008","36.97"
"Nov 10","1.466","1.466","1.466","1.466","25.41"
"Oct 10","1.169","1.169","1.169","1.169","-8.17"
"Sep 10","1.273","1.273","1.273","1.273","-4.36"
"Aug 10","1.331","1.331","1.331","1.331","-16.71"
"Jul 10","1.598","1.598","1.598","1.598","-10.12"
"Jun 10","1.778","1.778","1.778","1.778","-15.29"
"May 10","2.099","2.099","2.099","2.099","-13.26"
"Apr 10","2.420","2.420","2.420","2.420","-5.36"
"Mar 10","2.557","2.557","2.557","2.557","10.93"
"Feb 10","2.305","2.305","2.305","2.305","-0.86"
"Jan 10","2.325","2.325","2.325","2.325","-13.38"
"Dec 09","2.684","2.684","2.684","2.684","34.00"
"Nov 09","2.003","2.003","2.003","2.003","-13.40"
"Oct 09","2.313","2.313","2.313","2.313","0.00"
"Sep 09","2.313","2.313","2.313","2.313","-3.10"
"Aug 09","2.387","2.387","2.387","2.387","-5.13"
"Jul 09","2.516","2.516","2.516","2.516","-1.72"
"Jun 09","2.560","2.560","2.560","2.560","9.31"
"May 09","2.342","2.342","2.342","2.342","16.52"
"Apr 09","2.010","2.010","2.010","2.010","20.94"
"Mar 09","1.662","1.662","1.662","1.662","-16.57"
"Feb 09","1.992","1.992","1.992","1.992","5.96"
"Jan 09","1.880","1.880","1.880","1.880","20.98"
"Dec 08","1.554","1.554","1.554","1.554","-18.81"
"Nov 08","1.914","1.914","1.914","1.914","-31.91"
"Oct 08","2.811","2.811","2.811","2.811","-5.48"
"Sep 08","2.974","2.974","2.974","2.974","-3.88"
"Aug 08","3.094","3.094","3.094","3.094","-4.65"
"Jul 08","3.245","3.245","3.245","3.245","-2.76"
"Jun 08","3.337","3.337","3.337","3.337","-2.71"
"May 08","3.430","3.430","3.430","3.430","13.65"
"Apr 08","3.018","3.018","3.018","3.018","20.00"
"Mar 08","2.515","2.515","2.515","2.515","1.62"
"Feb 08","2.475","2.475","2.475","2.475","-10.49"
"Jan 08","2.765","2.765","2.765","2.765","-19.97"
"Dec 07","3.455","3.455","3.455","3.455","1.59"
"Nov 07","3.401","3.401","3.401","3.401","-18.56"
"Oct 07","4.176","4.176","4.176","4.176","-1.86"
"Sep 07","4.255","4.255","4.255","4.255","0.00"
"Aug 07","4.255","4.255","4.255","4.255","-6.65"
"Jul 07","4.558","4.558","4.558","4.558","-7.49"
"Jun 07","4.927","4.927","4.927","4.927","1.44"
"May 07","4.857","4.857","4.857","4.857","7.55"
"Apr 07","4.516","4.516","4.516","4.516","-0.55"
"Mar 07","4.541","4.541","4.541","4.541","0.24"
"Feb 07","4.530","4.530","4.530","4.530","-5.80"
"Jan 07","4.809","4.809","4.809","4.809","2.45"
"Dec 06","4.694","4.694","4.694","4.694","5.55"
"Nov 06","4.447","4.447","4.447","4.447","-2.63"
"Oct 06","4.567","4.567","4.567","4.567","-0.39"
"Sep 06","4.585","4.585","4.585","4.585","-2.36"
"Aug 06","4.696","4.696","4.696","4.696","-4.30"
"Jul 06","4.907","4.907","4.907","4.907","-3.82"
"Jun 06","5.102","5.102","5.102","5.102","1.31"
"May 06","5.036","5.036","5.036","5.036","2.52"
"Apr 06","4.912","4.912","4.912","4.912","1.99"
"Mar 06","4.816","4.816","4.816","4.816","4.60"
"Feb 06","4.604","4.604","4.604","4.604","3.21"
"Jan 06","4.461","4.461","4.461","4.461","2.43"
"Dec 05","4.355","4.355","4.355","4.355","-1.69"
"Nov 05","4.430","4.430","4.430","4.430","-0.34"
"Oct 05","4.445","4.445","4.445","4.445","5.93"
"Sep 05","4.196","4.196","4.196","4.196","8.65"
"Aug 05","3.862","3.862","3.862","3.862","-6.53"
"Jul 05","4.132","4.132","4.132","4.132","11.59"
"Jun 05","3.703","3.703","3.703","3.703","-0.91"
"May 05","3.737","3.737","3.737","3.737","-4.23"
"Apr 05","3.902","3.902","3.902","3.902","-6.47"
"Mar 05","4.172","4.172","4.172","4.172","3.91"
"Feb 05","4.015","4.015","4.015","4.015","8.51"
"Jan 05","3.700","3.700","3.700","3.700","2.61"
"Dec 04","3.606","3.606","3.606","3.606","-2.17"
"Nov 04","3.686","3.686","3.686","3.686","12.38"
"Oct 04","3.280","3.280","3.280","3.280","-1.23"
"Sep 04","3.321","3.321","3.321","3.321","-0.12"
"Aug 04","3.325","3.325","3.325","3.325","-9.87"
"Jul 04","3.689","3.689","3.689","3.689","-2.10"
"Jun 04","3.768","3.768","3.768","3.768","1.45"
"May 04","3.714","3.714","3.714","3.714","3.20"
"Apr 04","3.599","3.599","3.599","3.599","29.55"
"Mar 04","2.778","2.778","2.778","2.778","-5.51"
"Feb 04","2.940","2.940","2.940","2.940","-6.34"
"Jan 04","3.139","3.139","3.139","3.139","-2.30"
"Dec 03","3.213","3.213","3.213","3.213","-1.26"
"Nov 03","3.254","3.254","3.254","3.254","0.90"
"Oct 03","3.225","3.225","3.225","3.225","14.36"
"Sep 03","2.820","2.820","2.820","2.820","-18.59"
"Aug 03","3.464","3.464","3.464","3.464","7.81"
"Jul 03","3.213","3.213","3.213","3.213","33.15"
"Jun 03","2.413","2.413","2.413","2.413","5.37"
"May 03","2.290","2.290","2.290","2.290","-16.73"
"Apr 03","2.750","2.750","2.750","2.750","1.63"
"Mar 03","2.706","2.706","2.706","2.706","1.54"
"Feb 03","2.665","2.665","2.665","2.665","-9.23"
"Jan 03","2.936","2.936","2.936","2.936","7.59"
"Dec 02","2.729","2.729","2.729","2.729","-16.31"
"Nov 02","3.261","3.261","3.261","3.261","16.01"
"Oct 02","2.811","2.811","2.811","2.811","9.63"
"Sep 02","2.564","2.564","2.564","2.564","-19.57"
"Aug 02","3.188","3.188","3.188","3.188","-8.42"
"Jul 02","3.481","3.481","3.481","3.481","-13.86"
"Jun 02","4.041","4.041","4.041","4.041","-7.25"
"May 02","4.357","4.357","4.357","4.357","-1.69"
"Apr 02","4.432","4.432","4.432","4.432","-8.01"
"Mar 02","4.818","4.818","4.818","4.818","14.69"
"Feb 02","4.201","4.201","4.201","4.201","-3.96"
"Jan 02","4.374","4.374","4.374","4.374","0.85"
"Dec 01","4.337","4.337","4.337","4.337","6.80"
"Nov 01","4.061","4.061","4.061","4.061","16.93"
"Oct 01","3.473","3.473","3.473","3.473","-8.75"
"Sep 01","3.806","3.806","3.806","3.806","-13.09"
"Aug 01","4.379","4.379","4.379","4.379","-3.23"
"Jul 01","4.525","4.525","4.525","4.525","-8.95"
"Jun 01","4.970","4.970","4.970","4.970","1.18"
"May 01","4.912","4.912","4.912","4.912","0.49"
"Apr 01","4.888","4.888","4.888","4.888","7.40"
"Mar 01","4.551","4.551","4.551","4.551","-2.44"
"Feb 01","4.665","4.665","4.665","4.665","-2.39"
"Jan 01","4.779","4.779","4.779","4.779","-4.11"
"Dec 00","4.984","4.984","4.984","4.984","-8.45"
"Nov 00","5.444","5.444","5.444","5.444","-6.35"
"Oct 00","5.813","5.813","5.813","5.813","-0.77"
"Sep 00","5.858","5.858","5.858","5.858","-1.96"
"Aug 00","5.975","5.975","5.975","5.975","-2.92"
"Jul 00","6.155","6.155","6.155","6.155","-0.50"
"Jun 00","6.186","6.186","6.186","6.186","-5.80"
"May 00","6.567","6.567","6.567","6.567","0.41"
"Apr 00","6.540","6.540","6.540","6.540","3.55"
"Mar 00","6.316","6.316","6.316","6.316","-4.20"
"Feb 00","6.593","6.593","6.593","6.593","-1.38"
"Jan 00","6.685","6.685","6.685","6.685","5.41"
"Dec 99","6.342","6.342","6.342","6.342","3.78"
"Nov 99","6.111","6.111","6.111","6.111","2.81"
"Oct 99","5.944","5.944","5.944","5.944","3.34"
"Sep 99","5.752","5.752","5.752","5.752","-2.08"
"Aug 99","5.874","5.874","5.874","5.874","1.40"
"Jul 99","5.793","5.793","5.793","5.793","2.55"
"Jun 99","5.649","5.649","5.649","5.649","1.15"
"May 99","5.585","5.585","5.585","5.585","7.18"
"Apr 99","5.211","5.211","5.211","5.211","2.04"
"Mar 99","5.107","5.107","5.107","5.107","-2.56"
"Feb 99","5.241","5.241","5.241","5.241","15.39"
"Jan 99","4.542","4.542","4.542","4.542","0.09"
"Dec 98","4.538","4.538","4.538","4.538","1.20"
"Nov 98","4.484","4.484","4.484","4.484","6.03"
"Oct 98","4.229","4.229","4.229","4.229","-0.21"
"Sep 98","4.238","4.238","4.238","4.238","-13.72"
"Aug 98","4.912","4.912","4.912","4.912","-10.79"
"Jul 98","5.506","5.506","5.506","5.506","0.68"
"Jun 98","5.469","5.469","5.469","5.469","-1.60"
"May 98","5.558","5.558","5.558","5.558","-3.94"
"Apr 98","5.786","5.786","5.786","5.786","2.90"
"Mar 98","5.623","5.623","5.623","5.623","0.52"
"Feb 98","5.594","5.594","5.594","5.594","3.90"
"Jan 98","5.384","5.384","5.384","5.384","-5.74"
"Dec 97","5.712","5.712","5.712","5.712","-2.28"
"Nov 97","5.845","5.845","5.845","5.845","2.31"
"Oct 97","5.713","5.713","5.713","5.713","-4.66"
"Sep 97","5.992","5.992","5.992","5.992","-3.79"
"Aug 97","6.228","6.228","6.228","6.228","5.47"
"Jul 97","5.905","5.905","5.905","5.905","-7.49"
"Jun 97","6.383","6.383","6.383","6.383","-1.92"
"May 97","6.508","6.508","6.508","6.508","-0.99"
"Apr 97","6.573","6.573","6.573","6.573","-2.75"
"Mar 97","6.759","6.759","6.759","6.759","5.76"
"Feb 97","6.391","6.391","6.391","6.391","2.26"
"Jan 97","6.250","6.250","6.250","6.250","0.60"
"Dec 96","6.213","6.213","6.213","6.213","6.42"
"Nov 96","5.838","5.838","5.838","5.838","-3.89"
"Oct 96","6.074","6.074","6.074","6.074","-6.03"
"Sep 96","6.464","6.464","6.464","6.464","-3.98"
"Aug 96","6.732","6.732","6.732","6.732","2.42"
"Jul 96","6.573","6.573","6.573","6.573","1.61"
"Jun 96","6.469","6.469","6.469","6.469","-2.49"
"May 96","6.634","6.634","6.634","6.634","3.33"
"Apr 96","6.420","6.420","6.420","6.420","5.37"
"Mar 96","6.093","6.093","6.093","6.093","6.13"
"Feb 96","5.741","5.741","5.741","5.741","9.64"
"Jan 96","5.236","5.236","5.236","5.236","-2.77"
"Dec 95","5.385","5.385","5.385","5.385","-2.52"
"Nov 95","5.524","5.524","5.524","5.524","-5.02"
"Oct 95","5.816","5.816","5.816","5.816","-3.42"
"Sep 95","6.022","6.022","6.022","6.022","-0.86"
"Aug 95","6.074","6.074","6.074","6.074","-1.30"
"Jul 95","6.154","6.154","6.154","6.154","3.08"
"Jun 95","5.970","5.970","5.970","5.970","-1.47"
"May 95","6.059","6.059","6.059","6.059","-11.87"
"Apr 95","6.875","6.875","6.875","6.875","-2.57"
"Mar 95","7.056","7.056","7.056","7.056","0.09"
"Feb 95","7.050","7.050","7.050","7.050","-6.08"
"Jan 95","7.506","7.506","7.506","7.506","-4.19"
"Dec 94","7.834","7.834","7.834","7.834","0.49"
"Nov 94","7.796","7.796","7.796","7.796","4.06"
"Oct 94","7.492","7.492","7.492","7.492","2.86"
"Sep 94","7.284","7.284","7.284","7.284","6.99"
"Aug 94","6.808","6.808","6.808","6.808","1.11"
"Jul 94","6.733","6.733","6.733","6.733","-3.16"
"Jun 94","6.953","6.953","6.953","6.953","2.78"
"May 94","6.765","6.765","6.765","6.765","1.97"
"Apr 94","6.634","6.634","6.634","6.634","6.50"
"Mar 94","6.229","6.229","6.229","6.229","11.63"
"Feb 94","5.580","5.580","5.580","5.580","11.13"
"Jan 94","5.021","5.021","5.021","5.021","-1.76"
"Dec 93","5.111","5.111","5.111","5.111","-0.97"
"Nov 93","5.161","5.161","5.161","5.161","7.45"
"Oct 93","4.803","4.803","4.803","4.803","0.82"
"Sep 93","4.764","4.764","4.764","4.764","-0.61"
"Aug 93","4.793","4.793","4.793","4.793","-6.79"
"Jul 93","5.142","5.142","5.142","5.142","1.90"
"Jun 93","5.046","5.046","5.046","5.046","-6.05"
"May 93","5.371","5.371","5.371","5.371","5.09"
"Apr 93","5.111","5.111","5.111","5.111","-2.33"
"Mar 93","5.233","5.233","5.233","5.233","0.63"
"Feb 93","5.200","5.200","5.200","5.200","-6.36"
"Jan 93","5.553","5.553","5.553","5.553","-7.45"
"Dec 92","6.000","6.000","6.000","6.000","-3.44"
"Nov 92","6.214","6.214","6.214","6.214","5.45"
"Oct 92","5.893","5.893","5.893","5.893","10.71"
"Sep 92","5.323","5.323","5.323","5.323","-4.57"
"Aug 92","5.578","5.578","5.578","5.578","-4.17"
"Jul 92","5.821","5.821","5.821","5.821","-7.29"
"Jun 92","6.279","6.279","6.279","6.279","-4.94"
"May 92","6.605","6.605","6.605","6.605","-4.02"
"Apr 92","6.882","6.882","6.882","6.882","-0.65"
"Mar 92","6.927","6.927","6.927","6.927","5.53"
"Feb 92","6.564","6.564","6.564","6.564","2.12"
"Jan 92","6.428","6.428","6.428","6.428","8.45"
"Dec 91","5.927","5.927","5.927","5.927","-8.60"
"Nov 91","6.485","6.485","6.485","6.485","-3.68"
"Oct 91","6.733","6.733","6.733","6.733","-2.51"
"Sep 91","6.906","6.906","6.906","6.906","-5.93"
"Aug 91","7.341","7.341","7.341","7.341","-5.30"
"Jul 91","7.752","7.752","7.752","7.752","-1.66"
"Jun 91","7.883","7.883","7.883","7.883","2.36"
"May 91","7.701","7.701","7.701","7.701","1.10"
"Apr 91","7.617","7.617","7.617","7.617","-1.61"
"Mar 91","7.742","7.742","7.742","7.742","0.45"
"Feb 91","7.707","7.707","7.707","7.707","1.22"
"Jan 91","7.614","7.614","7.614","7.614","-0.99"
"Dec 90","7.690","7.690","7.690","7.690","-2.87"
"Nov 90","7.917","7.917","7.917","7.917","-3.63"
"Oct 90","8.215","8.215","8.215","8.215","-4.91"
"Aug 90","8.639","8.639","8.639","8.639","6.51"
"Jul 90","8.111","8.111","8.111","8.111","-2.89"
"Jun 90","8.352","8.352","8.352","8.352","-2.48"
"May 90","8.564","8.564","8.564","8.564","-5.34"
"Apr 90","9.047","9.047","9.047","9.047","5.25"
"Feb 90","8.596","8.596","8.596","8.596","3.21"
"Jan 90","8.329","8.329","8.329","8.329","5.79"
"","","","","",""
"","Highest:9.047","Lowest:0.586","Difference:8.461","Average:4.211","Change %:-77.569"
